product_key,product_id,supplier_key,product_name,category,subcategory,unit_of_measure,unit_cost,unit_price,status
38,PROD-000038,705,Pneumatic Control Unit Premium Series 0038,Industrial Equipment,Premium,Kg,44.69,89.87,Active
39,PROD-000039,973,Proximity Sensor Specialty Series 0039,Electronics,Specialty,Each,120.08,290.4,Active
40,PROD-000040,456,Process Pump Assembly Specialty Series 0040,Industrial Equipment,Specialty,Meter,413.52,704.39,Active
41,PROD-000041,130,Material Handling Unit Standard Series 0041,Industrial Equipment,Standard,Kg,44.94,57.22,Inactive
42,PROD-000042,521,Engineering Plastic Pellets Standard Series 0042,Raw Materials,Standard,Kg,167.22,307.48,Active
43,PROD-000043,119,Precision Bearing Assembly Standard Series 0043,Components,Standard,Liter,46.15,99.35,Active
44,PROD-000044,355,Pneumatic Control Unit Standard Series 0044,Industrial Equipment,Standard,Liter,497.66,1238.7,Active
45,PROD-000045,810,Industrial Drive System Specialty Series 0045,Industrial Equipment,Specialty,Liter,290.64,719.34,Active
46,PROD-000046,517,Pallet Wrap Assembly Premium Series 0046,Packaging,Premium,Liter,411.52,881.35,Active
47,PROD-000047,814,Motor Control Panel Specialty Series 0047,Electronics,Specialty,Each,447.72,659.24,Inactive
48,PROD-000048,446,Industrial Signal Converter Standard Series 0048,Electronics,Standard,Each,406.57,893.05,Inactive
49,PROD-000049,295,Precision Bearing Assembly Premium Series 0049,Components,Premium,Liter,338.7,521.87,Active
50,PROD-000050,695,Aluminum Sheet Stock Standard Series 0050,Raw Materials,Standard,Each,273.56,595.66,Active
51,PROD-000051,372,Aluminum Mounting Bracket Specialty Series 0051,Components,Specialty,Meter,218.68,283.47,Active
52,PROD-000052,915,Drive Shaft Assembly Premium Series 0052,Components,Premium,Liter,474.02,995.17,Active
53,PROD-000053,573,Material Handling Unit Standard Series 0053,Industrial Equipment,Standard,Meter,453.46,762.55,Active
54,PROD-000054,597,Thermal Processing Unit Standard Series 0054,Industrial Equipment,Standard,Liter,161.06,267.17,Inactive
55,PROD-000055,246,Precision Bearing Assembly Specialty Series 0055,Components,Specialty,Meter,245.9,556.03,Inactive
56,PROD-000056,818,Aluminum Sheet Stock Standard Series 0056,Raw Materials,Standard,Kg,209.16,401.42,Active
57,PROD-000057,571,Industrial Stretch Film Specialty Series 0057,Packaging,Specialty,Meter,225.23,542.96,Active
58,PROD-000058,23,Industrial Copper Wire Specialty Series 0058,Raw Materials,Specialty,Each,480.31,1001.0,Active
59,PROD-000059,711,Heavy-Duty Packaging Sleeve Premium Series 0059,Packaging,Premium,Liter,452.86,590.89,Active
60,PROD-000060,672,Engineering Plastic Pellets Specialty Series 0060,Raw Materials,Specialty,Meter,285.53,535.5,Active
61,PROD-000061,465,Precision Bearing Assembly Premium Series 0061,Components,Premium,Each,230.26,430.18,Active
62,PROD-000062,562,Pneumatic Control Unit Standard Series 0062,Industrial Equipment,Standard,Meter,55.02,129.31,Active
63,PROD-000063,77,Industrial Stretch Film Specialty Series 0063,Packaging,Specialty,Liter,172.46,260.95,Active
64,PROD-000064,433,Power Distribution Module Standard Series 0064,Electronics,Standard,Kg,483.02,633.4,Active
65,PROD-000065,173,Industrial Valve Assembly Standard Series 0065,Components,Standard,Each,193.31,400.21,Active
66,PROD-000066,935,Conveyor Roller Assembly Standard Series 0066,Components,Standard,Kg,134.62,281.11,Active
67,PROD-000067,155,Precision Bearing Assembly Specialty Series 0067,Components,Specialty,Liter,467.13,975.97,Active
68,PROD-000068,26,Variable Frequency Drive Specialty Series 0068,Electronics,Specialty,Kg,174.01,257.16,Active
69,PROD-000069,625,Proximity Sensor Premium Series 0069,Electronics,Premium,Each,429.51,978.63,Active
70,PROD-000070,17,Pallet Wrap Assembly Specialty Series 0070,Packaging,Specialty,Each,208.52,262.35,Active
71,PROD-000071,559,Heavy-Duty Packaging Sleeve Specialty Series 0071,Packaging,Specialty,Kg,248.94,355.97,Inactive
72,PROD-000072,826,Engineering Plastic Pellets Premium Series 0072,Raw Materials,Premium,Kg,334.8,787.42,Active
73,PROD-000073,644,Precision Bearing Assembly Standard Series 0073,Components,Standard,Kg,240.16,397.32,Active
74,PROD-000074,944,Steel Coupling Premium Series 0074,Components,Premium,Each,193.55,437.09,Active
75,PROD-000075,709,Industrial Stretch Film Standard Series 0075,Packaging,Standard,Each,302.65,428.51,Active
76,PROD-000076,261,Process Pump Assembly Premium Series 0076,Industrial Equipment,Premium,Each,232.31,299.46,Active
77,PROD-000077,406,Material Handling Unit Premium Series 0077,Industrial Equipment,Premium,Liter,92.57,140.39,Active
78,PROD-000078,297,Engineering Plastic Pellets Specialty Series 0078,Raw Materials,Specialty,Each,469.83,938.66,Active
79,PROD-000079,682,Cold Rolled Steel Coil Standard Series 0079,Raw Materials,Standard,Each,92.24,211.53,Active
80,PROD-000080,291,Pneumatic Control Unit Specialty Series 0080,Industrial Equipment,Specialty,Liter,197.52,278.48,Active
81,PROD-000081,793,Industrial Stretch Film Standard Series 0081,Packaging,Standard,Kg,124.6,291.03,Active
82,PROD-000082,933,Drive Shaft Assembly Specialty Series 0082,Components,Specialty,Liter,312.59,588.81,Active
83,PROD-000083,393,Stainless Steel Sheet Standard Series 0083,Raw Materials,Standard,Meter,454.06,608.33,Active
84,PROD-000084,221,Industrial Signal Converter Premium Series 0084,Electronics,Premium,Meter,94.57,178.33,Active
85,PROD-000085,37,Precision Bearing Assembly Standard Series 0085,Components,Standard,Meter,27.71,65.89,Active
86,PROD-000086,633,Protective Packaging Insert Premium Series 0086,Packaging,Premium,Kg,45.84,91.76,Active
87,PROD-000087,240,Aluminum Mounting Bracket Premium Series 0087,Components,Premium,Kg,259.48,377.93,Active
88,PROD-000088,34,Industrial Copper Wire Premium Series 0088,Raw Materials,Premium,Meter,172.25,391.31,Active
89,PROD-000089,482,Motor Control Panel Standard Series 0089,Electronics,Standard,Liter,448.65,598.68,Inactive
90,PROD-000090,932,Reusable Transport Crate Specialty Series 0090,Packaging,Specialty,Liter,365.4,591.23,Active
91,PROD-000091,335,Corrugated Shipping Carton Standard Series 0091,Packaging,Standard,Each,313.66,393.13,Active
92,PROD-000092,481,Steel Coupling Standard Series 0092,Components,Standard,Each,418.94,952.05,Active
93,PROD-000093,422,Aluminum Mounting Bracket Specialty Series 0093,Components,Specialty,Kg,256.14,518.1,Active
94,PROD-000094,971,Drive Shaft Assembly Standard Series 0094,Components,Standard,Each,82.46,130.87,Active
95,PROD-000095,947,Motor Control Panel Standard Series 0095,Electronics,Standard,Liter,165.95,266.03,Active
96,PROD-000096,856,Thermal Processing Unit Specialty Series 0096,Industrial Equipment,Specialty,Kg,122.95,259.6,Active
97,PROD-000097,882,Corrugated Shipping Carton Specialty Series 0097,Packaging,Specialty,Liter,210.28,301.65,Active
98,PROD-000098,167,Pneumatic Control Unit Specialty Series 0098,Industrial Equipment,Specialty,Liter,356.29,600.37,Active
99,PROD-000099,12,Polymer Resin Specialty Series 0099,Raw Materials,Specialty,Each,247.36,313.59,Active
100,PROD-000100,541,Industrial Copper Wire Specialty Series 0100,Raw Materials,Specialty,Meter,448.26,875.86,Active
101,PROD-000101,274,Heavy-Duty Packaging Sleeve Standard Series 0101,Packaging,Standard,Liter,235.06,367.92,Active
102,PROD-000102,59,Industrial Signal Converter Specialty Series 0102,Electronics,Specialty,Meter,271.17,643.54,Active
103,PROD-000103,824,Hydraulic Power Unit Standard Series 0103,Industrial Equipment,Standard,Kg,412.11,763.81,Active
104,PROD-000104,343,Aluminum Sheet Stock Premium Series 0104,Raw Materials,Premium,Each,260.46,363.71,Active
105,PROD-000105,250,Aluminum Mounting Bracket Specialty Series 0105,Components,Specialty,Liter,349.17,635.3,Active
106,PROD-000106,764,Drive Shaft Assembly Premium Series 0106,Components,Premium,Each,17.28,42.26,Active
107,PROD-000107,414,Material Handling Unit Specialty Series 0107,Industrial Equipment,Specialty,Kg,330.64,526.79,Active
108,PROD-000108,348,Industrial Signal Converter Premium Series 0108,Electronics,Premium,Meter,290.85,652.23,Active
109,PROD-000109,274,Hydraulic Power Unit Standard Series 0109,Industrial Equipment,Standard,Kg,99.5,144.37,Active
110,PROD-000110,382,Aluminum Sheet Stock Standard Series 0110,Raw Materials,Standard,Liter,445.61,559.7,Active
111,PROD-000111,271,Polymer Resin Premium Series 0111,Raw Materials,Premium,Each,38.91,57.04,Active
112,PROD-000112,598,Power Distribution Module Premium Series 0112,Electronics,Premium,Kg,433.86,927.43,Active
113,PROD-000113,168,Industrial Valve Assembly Specialty Series 0113,Components,Specialty,Kg,345.47,501.56,Active
114,PROD-000114,234,Industrial Signal Converter Specialty Series 0114,Electronics,Specialty,Meter,171.87,329.76,Active
115,PROD-000115,891,Corrugated Shipping Carton Premium Series 0115,Packaging,Premium,Meter,35.38,81.46,Inactive
116,PROD-000116,489,Pneumatic Control Unit Standard Series 0116,Industrial Equipment,Standard,Liter,438.94,640.73,Active
117,PROD-000117,141,Industrial Drive System Premium Series 0117,Industrial Equipment,Premium,Kg,197.75,306.15,Inactive
118,PROD-000118,30,Process Pump Assembly Standard Series 0118,Industrial Equipment,Standard,Meter,51.64,80.59,Active
119,PROD-000119,590,Material Handling Unit Standard Series 0119,Industrial Equipment,Standard,Kg,195.46,475.11,Active
120,PROD-000120,878,Industrial Signal Converter Premium Series 0120,Electronics,Premium,Liter,303.31,555.19,Active
121,PROD-000121,663,Hydraulic Power Unit Standard Series 0121,Industrial Equipment,Standard,Kg,218.34,448.41,Active
122,PROD-000122,904,Aluminum Sheet Stock Specialty Series 0122,Raw Materials,Specialty,Each,117.63,259.39,Active
123,PROD-000123,344,Industrial Stretch Film Standard Series 0123,Packaging,Standard,Meter,152.66,251.9,Active
124,PROD-000124,10,Industrial Copper Wire Premium Series 0124,Raw Materials,Premium,Liter,436.83,889.96,Active
125,PROD-000125,749,Motor Control Panel Standard Series 0125,Electronics,Standard,Each,120.03,269.37,Active
126,PROD-000126,443,Thermal Processing Unit Standard Series 0126,Industrial Equipment,Standard,Kg,74.14,107.65,Active
127,PROD-000127,90,Hydraulic Power Unit Premium Series 0127,Industrial Equipment,Premium,Liter,392.23,767.94,Active
128,PROD-000128,815,Variable Frequency Drive Premium Series 0128,Electronics,Premium,Kg,87.6,215.51,Inactive
129,PROD-000129,144,Industrial Stretch Film Standard Series 0129,Packaging,Standard,Liter,484.8,966.53,Active
130,PROD-000130,904,Power Distribution Module Premium Series 0130,Electronics,Premium,Each,426.36,567.3,Active
131,PROD-000131,133,Heavy-Duty Packaging Sleeve Specialty Series 0131,Packaging,Specialty,Kg,30.0,38.87,Active
132,PROD-000132,12,Industrial Signal Converter Specialty Series 0132,Electronics,Specialty,Kg,419.19,808.98,Active
133,PROD-000133,476,Industrial Control Module Premium Series 0133,Electronics,Premium,Each,186.47,283.35,Active
134,PROD-000134,544,Steel Coupling Premium Series 0134,Components,Premium,Meter,440.71,1056.41,Active
135,PROD-000135,210,Proximity Sensor Standard Series 0135,Electronics,Standard,Liter,346.42,586.66,Active
136,PROD-000136,126,Pallet Wrap Assembly Premium Series 0136,Packaging,Premium,Each,393.85,838.77,Active
137,PROD-000137,773,Stainless Steel Sheet Specialty Series 0137,Raw Materials,Specialty,Liter,263.28,497.83,Active
138,PROD-000138,897,Industrial Signal Converter Specialty Series 0138,Electronics,Specialty,Each,427.23,791.42,Active
139,PROD-000139,566,Hydraulic Power Unit Standard Series 0139,Industrial Equipment,Standard,Liter,119.3,151.95,Active
140,PROD-000140,706,Pneumatic Control Unit Premium Series 0140,Industrial Equipment,Premium,Meter,420.12,690.66,Active
141,PROD-000141,308,Industrial Stretch Film Specialty Series 0141,Packaging,Specialty,Kg,12.81,29.4,Active
142,PROD-000142,799,Drive Shaft Assembly Standard Series 0142,Components,Standard,Each,194.67,389.32,Active
143,PROD-000143,706,Stainless Steel Sheet Specialty Series 0143,Raw Materials,Specialty,Meter,392.49,628.44,Active
144,PROD-000144,782,Engineering Plastic Pellets Premium Series 0144,Raw Materials,Premium,Kg,464.04,789.07,Active
145,PROD-000145,970,Precision Bearing Assembly Standard Series 0145,Components,Standard,Liter,44.61,60.28,Active
146,PROD-000146,988,Protective Packaging Insert Specialty Series 0146,Packaging,Specialty,Meter,188.74,438.8,Active
147,PROD-000147,516,Proximity Sensor Specialty Series 0147,Electronics,Specialty,Each,167.31,240.89,Active
148,PROD-000148,925,Pallet Wrap Assembly Specialty Series 0148,Packaging,Specialty,Liter,209.78,429.81,Active
149,PROD-000149,690,Material Handling Unit Premium Series 0149,Industrial Equipment,Premium,Meter,180.18,343.49,Active
150,PROD-000150,329,Reusable Transport Crate Standard Series 0150,Packaging,Standard,Kg,400.39,761.77,Active
151,PROD-000151,252,Industrial Control Module Premium Series 0151,Electronics,Premium,Each,332.76,623.65,Active
152,PROD-000152,896,Steel Coupling Standard Series 0152,Components,Standard,Kg,184.97,435.16,Active
153,PROD-000153,710,Industrial Drive System Standard Series 0153,Industrial Equipment,Standard,Liter,68.79,121.57,Active
154,PROD-000154,62,Process Pump Assembly Specialty Series 0154,Industrial Equipment,Specialty,Each,190.65,304.57,Active
155,PROD-000155,437,Industrial Valve Assembly Standard Series 0155,Components,Standard,Each,171.49,306.83,Active
156,PROD-000156,703,Conveyor Roller Assembly Premium Series 0156,Components,Premium,Liter,232.32,468.02,Active
157,PROD-000157,813,Cold Rolled Steel Coil Premium Series 0157,Raw Materials,Premium,Each,106.6,219.06,Inactive
158,PROD-000158,896,Pneumatic Control Unit Standard Series 0158,Industrial Equipment,Standard,Kg,441.87,603.0,Active
159,PROD-000159,778,Aluminum Mounting Bracket Specialty Series 0159,Components,Specialty,Liter,48.68,61.26,Active
160,PROD-000160,715,Industrial Copper Wire Standard Series 0160,Raw Materials,Standard,Each,343.06,461.71,Inactive
161,PROD-000161,500,Material Handling Unit Premium Series 0161,Industrial Equipment,Premium,Each,144.86,357.48,Active
162,PROD-000162,383,Reusable Transport Crate Standard Series 0162,Packaging,Standard,Each,24.46,42.18,Active
163,PROD-000163,899,Hydraulic Power Unit Specialty Series 0163,Industrial Equipment,Specialty,Liter,495.55,654.28,Active
164,PROD-000164,482,Variable Frequency Drive Premium Series 0164,Electronics,Premium,Each,385.9,950.14,Active
165,PROD-000165,675,Industrial Drive System Specialty Series 0165,Industrial Equipment,Specialty,Each,159.38,381.63,Active
166,PROD-000166,920,Industrial Copper Wire Premium Series 0166,Raw Materials,Premium,Kg,274.13,670.33,Active
167,PROD-000167,252,Industrial Valve Assembly Specialty Series 0167,Components,Specialty,Each,250.14,566.21,Active
168,PROD-000168,701,Industrial Signal Converter Specialty Series 0168,Electronics,Specialty,Liter,101.6,191.23,Active
169,PROD-000169,703,Industrial Control Module Standard Series 0169,Electronics,Standard,Meter,75.54,135.11,Active
170,PROD-000170,344,Steel Coupling Specialty Series 0170,Components,Specialty,Meter,266.32,461.73,Active
171,PROD-000171,1,Polymer Resin Standard Series 0171,Raw Materials,Standard,Each,134.29,226.11,Active
172,PROD-000172,293,Process Pump Assembly Premium Series 0172,Industrial Equipment,Premium,Meter,118.99,199.97,Active
173,PROD-000173,766,Industrial Valve Assembly Specialty Series 0173,Components,Specialty,Kg,68.58,151.25,Active
174,PROD-000174,111,Engineering Plastic Pellets Specialty Series 0174,Raw Materials,Specialty,Meter,178.18,237.4,Active
175,PROD-000175,339,Corrugated Shipping Carton Specialty Series 0175,Packaging,Specialty,Kg,272.28,450.92,Active
176,PROD-000176,485,Aluminum Sheet Stock Standard Series 0176,Raw Materials,Standard,Liter,25.06,59.39,Active
177,PROD-000177,89,Aluminum Mounting Bracket Standard Series 0177,Components,Standard,Kg,386.55,860.76,Active
178,PROD-000178,605,Process Pump Assembly Premium Series 0178,Industrial Equipment,Premium,Meter,20.85,26.49,Active
179,PROD-000179,27,Motor Control Panel Specialty Series 0179,Electronics,Specialty,Meter,487.84,686.34,Active
180,PROD-000180,191,Thermal Processing Unit Standard Series 0180,Industrial Equipment,Standard,Liter,497.19,639.67,Active
181,PROD-000181,144,Corrugated Shipping Carton Premium Series 0181,Packaging,Premium,Liter,296.3,396.83,Active
182,PROD-000182,862,Variable Frequency Drive Specialty Series 0182,Electronics,Specialty,Each,189.47,340.88,Active
183,PROD-000183,451,Aluminum Mounting Bracket Premium Series 0183,Components,Premium,Kg,169.62,372.49,Inactive
184,PROD-000184,88,Pallet Wrap Assembly Standard Series 0184,Packaging,Standard,Kg,24.0,31.22,Inactive
185,PROD-000185,895,Heavy-Duty Packaging Sleeve Specialty Series 0185,Packaging,Specialty,Liter,428.24,921.39,Active
186,PROD-000186,349,Thermal Processing Unit Specialty Series 0186,Industrial Equipment,Specialty,Kg,193.22,409.02,Active
187,PROD-000187,550,Precision Bearing Assembly Specialty Series 0187,Components,Specialty,Each,151.84,340.91,Active
188,PROD-000188,239,Protective Packaging Insert Specialty Series 0188,Packaging,Specialty,Meter,464.98,871.99,Active
189,PROD-000189,298,Proximity Sensor Premium Series 0189,Electronics,Premium,Each,79.64,198.07,Active
190,PROD-000190,606,Power Distribution Module Premium Series 0190,Electronics,Premium,Liter,354.87,716.19,Active
191,PROD-000191,664,Material Handling Unit Specialty Series 0191,Industrial Equipment,Specialty,Kg,149.2,325.66,Active
192,PROD-000192,461,Reusable Transport Crate Specialty Series 0192,Packaging,Specialty,Each,28.04,58.86,Active
193,PROD-000193,123,Cold Rolled Steel Coil Premium Series 0193,Raw Materials,Premium,Meter,308.99,456.71,Active
194,PROD-000194,473,Aluminum Sheet Stock Standard Series 0194,Raw Materials,Standard,Liter,497.5,923.35,Active
195,PROD-000195,594,Proximity Sensor Standard Series 0195,Electronics,Standard,Kg,451.81,873.27,Active
196,PROD-000196,567,Process Pump Assembly Standard Series 0196,Industrial Equipment,Standard,Liter,491.46,1131.31,Active
197,PROD-000197,527,Heavy-Duty Packaging Sleeve Specialty Series 0197,Packaging,Specialty,Each,150.66,243.46,Active
198,PROD-000198,854,Reusable Transport Crate Specialty Series 0198,Packaging,Specialty,Meter,473.82,907.82,Active
199,PROD-000199,585,Corrugated Shipping Carton Premium Series 0199,Packaging,Premium,Meter,46.65,101.55,Active
200,PROD-000200,940,Steel Coupling Standard Series 0200,Components,Standard,Each,238.82,347.2,Active
201,PROD-000201,170,Industrial Drive System Standard Series 0201,Industrial Equipment,Standard,Liter,42.91,99.27,Active
202,PROD-000202,610,Industrial Copper Wire Premium Series 0202,Raw Materials,Premium,Liter,419.47,850.1,Active
203,PROD-000203,557,Material Handling Unit Specialty Series 0203,Industrial Equipment,Specialty,Meter,50.61,76.7,Active
204,PROD-000204,33,Conveyor Roller Assembly Standard Series 0204,Components,Standard,Each,65.74,110.82,Inactive
205,PROD-000205,953,Cold Rolled Steel Coil Premium Series 0205,Raw Materials,Premium,Each,186.77,456.19,Active
206,PROD-000206,552,Aluminum Sheet Stock Specialty Series 0206,Raw Materials,Specialty,Kg,55.66,116.61,Active
207,PROD-000207,793,Aluminum Mounting Bracket Specialty Series 0207,Components,Specialty,Liter,65.21,133.25,Inactive
208,PROD-000208,77,Pallet Wrap Assembly Standard Series 0208,Packaging,Standard,Meter,382.83,925.31,Active
209,PROD-000209,341,Motor Control Panel Specialty Series 0209,Electronics,Specialty,Kg,37.83,49.32,Active
210,PROD-000210,380,Thermal Processing Unit Premium Series 0210,Industrial Equipment,Premium,Kg,463.51,817.14,Active
211,PROD-000211,66,Precision Bearing Assembly Standard Series 0211,Components,Standard,Each,180.71,371.89,Inactive
212,PROD-000212,718,Aluminum Sheet Stock Premium Series 0212,Raw Materials,Premium,Meter,155.11,203.26,Active
213,PROD-000213,579,Polymer Resin Standard Series 0213,Raw Materials,Standard,Meter,263.83,415.07,Active
214,PROD-000214,724,Power Distribution Module Specialty Series 0214,Electronics,Specialty,Meter,302.99,494.78,Active
215,PROD-000215,159,Material Handling Unit Standard Series 0215,Industrial Equipment,Standard,Meter,92.91,149.48,Active
216,PROD-000216,262,Reusable Transport Crate Standard Series 0216,Packaging,Standard,Each,78.94,166.91,Active
217,PROD-000217,904,Corrugated Shipping Carton Premium Series 0217,Packaging,Premium,Meter,108.11,257.16,Active
218,PROD-000218,552,Aluminum Sheet Stock Premium Series 0218,Raw Materials,Premium,Meter,374.37,870.79,Active
219,PROD-000219,483,Industrial Drive System Specialty Series 0219,Industrial Equipment,Specialty,Kg,467.25,984.93,Active
220,PROD-000220,258,Power Distribution Module Specialty Series 0220,Electronics,Specialty,Liter,112.41,280.15,Active
221,PROD-000221,487,Heavy-Duty Packaging Sleeve Specialty Series 0221,Packaging,Specialty,Liter,68.75,141.86,Active
222,PROD-000222,862,Conveyor Roller Assembly Standard Series 0222,Components,Standard,Kg,475.02,1155.27,Active
223,PROD-000223,837,Corrugated Shipping Carton Standard Series 0223,Packaging,Standard,Meter,399.22,774.43,Active
224,PROD-000224,677,Aluminum Sheet Stock Specialty Series 0224,Raw Materials,Specialty,Each,395.61,737.6,Active
225,PROD-000225,368,Proximity Sensor Premium Series 0225,Electronics,Premium,Meter,313.08,470.36,Active
226,PROD-000226,824,Drive Shaft Assembly Standard Series 0226,Components,Standard,Liter,352.56,695.92,Active
227,PROD-000227,761,Heavy-Duty Packaging Sleeve Premium Series 0227,Packaging,Premium,Meter,167.52,214.97,Active
228,PROD-000228,631,Industrial Signal Converter Premium Series 0228,Electronics,Premium,Meter,140.4,350.66,Active
229,PROD-000229,288,Hydraulic Power Unit Specialty Series 0229,Industrial Equipment,Specialty,Each,270.26,518.38,Active
230,PROD-000230,24,Protective Packaging Insert Premium Series 0230,Packaging,Premium,Liter,457.07,603.9,Active
231,PROD-000231,468,Industrial Drive System Premium Series 0231,Industrial Equipment,Premium,Each,71.49,149.84,Inactive
232,PROD-000232,199,Power Distribution Module Standard Series 0232,Electronics,Standard,Each,239.88,314.6,Active
233,PROD-000233,214,Stainless Steel Sheet Specialty Series 0233,Raw Materials,Specialty,Liter,251.19,526.78,Active
234,PROD-000234,883,Conveyor Roller Assembly Standard Series 0234,Components,Standard,Liter,183.32,250.63,Active
235,PROD-000235,730,Precision Bearing Assembly Specialty Series 0235,Components,Specialty,Kg,315.24,667.37,Active
236,PROD-000236,136,Variable Frequency Drive Premium Series 0236,Electronics,Premium,Liter,316.59,732.92,Active
237,PROD-000237,163,Polymer Resin Specialty Series 0237,Raw Materials,Specialty,Kg,99.09,234.79,Active
238,PROD-000238,708,Industrial Copper Wire Specialty Series 0238,Raw Materials,Specialty,Each,435.47,814.52,Active
239,PROD-000239,244,Industrial Valve Assembly Standard Series 0239,Components,Standard,Kg,29.94,52.99,Inactive
240,PROD-000240,196,Reusable Transport Crate Premium Series 0240,Packaging,Premium,Kg,51.33,127.14,Active
241,PROD-000241,605,Hydraulic Power Unit Premium Series 0241,Industrial Equipment,Premium,Meter,152.85,231.64,Active
242,PROD-000242,174,Aluminum Sheet Stock Specialty Series 0242,Raw Materials,Specialty,Liter,108.38,146.08,Active
243,PROD-000243,91,Polymer Resin Specialty Series 0243,Raw Materials,Specialty,Kg,81.6,117.79,Active
244,PROD-000244,33,Process Pump Assembly Specialty Series 0244,Industrial Equipment,Specialty,Kg,278.68,617.64,Active
245,PROD-000245,678,Stainless Steel Sheet Specialty Series 0245,Raw Materials,Specialty,Meter,256.16,377.24,Active
246,PROD-000246,455,Thermal Processing Unit Specialty Series 0246,Industrial Equipment,Specialty,Each,418.69,715.45,Active
247,PROD-000247,363,Precision Bearing Assembly Specialty Series 0247,Components,Specialty,Liter,283.27,394.23,Active
248,PROD-000248,72,Pneumatic Control Unit Specialty Series 0248,Industrial Equipment,Specialty,Meter,424.86,1026.91,Active
